"COUNTRY","Country","PRODUCT","Product","FLOW","Flow","TIME","Time","Value","Flag Codes","Flags"
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2001","2001",12.17,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2002","2002",14.694,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2003","2003",14.839,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2004","2004",14.056,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2005","2005",17.38,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2006","2006",19.492,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2007","2007",20.438,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2008","2008",33.087,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2009","2009",43.214,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2010","2010",44.236,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2011","2011",42.352,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2000","2000",4.23,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2001","2001",5.153,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2002","2002",5.261,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2003","2003",4.352,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2004","2004",4.756,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2005","2005",4.786,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2006","2006",5.177,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2007","2007",4.533,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2008","2008",6.022,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2009","2009",3.956,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2010","2010",4.034,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2011","2011",3.395,,
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2000","2000",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2001","2001",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2002","2002",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2003","2003",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2004","2004",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2005","2005",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2006","2006",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2007","2007",19.997,,
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2008","2008",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2009","2009",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2010","2010",0,,
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2011","2011",21.57,,
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2000","2000",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2001","2001",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2002","2002",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2003","2003",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2004","2004",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2005","2005",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2006","2006",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2007","2007",59.529,,
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2008","2008",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2009","2009",,"L","Missing value; data exist but were not collected"
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2010","2010",72.058,,
"BEL","Belgium","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2011","2011",88.06,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2000","2000",31.916,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2001","2001",28.012,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2002","2002",31.068,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2003","2003",47.627,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2004","2004",32.612,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2005","2005",45.673,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2006","2006",74.411,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2007","2007",65.301,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2008","2008",79.682,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2009","2009",130.124,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2010","2010",129.155,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2011","2011",151.637,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2000","2000",78.745,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2001","2001",65.886,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2002","2002",67.342,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2003","2003",56.709,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2004","2004",67.289,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2005","2005",209.113,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2006","2006",206.369,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2007","2007",219.782,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2008","2008",183.408,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2009","2009",288.213,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2010","2010",284.449,,
"CAN","Canada","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2011","2011",107.772,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2000","2000",,"L","Missing value; data exist but were not collected"
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2001","2001",,"L","Missing value; data exist but were not collected"
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2002","2002",,"L","Missing value; data exist but were not collected"
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2003","2003",0.99,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2004","2004",0.626,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2005","2005",1.501,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2006","2006",1.902,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2007","2007",1.522,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2008","2008",6.836,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2009","2009",8.136,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2010","2010",7.91,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2011","2011",12.713,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2000","2000",,"L","Missing value; data exist but were not collected"
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2001","2001",,"L","Missing value; data exist but were not collected"
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2002","2002",,"L","Missing value; data exist but were not collected"
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2003","2003",4.619,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2004","2004",5.218,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2005","2005",3.07,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2006","2006",3.049,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2007","2007",1.851,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2008","2008",16.918,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2009","2009",16.914,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2010","2010",15.926,,
"CZE","Czech Republic","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2011","2011",18.816,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2000","2000",24.876,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2001","2001",27.836,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2002","2002",14.158,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2003","2003",14.053,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2004","2004",32.684,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2005","2005",37.535,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2006","2006",40.009,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2007","2007",51.251,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2008","2008",56.898,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2009","2009",67.717,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2010","2010",99.197,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2011","2011",92.351,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2000","2000",6.816,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2001","2001",5.483,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2002","2002",4.684,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2003","2003",4.001,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2004","2004",3.638,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2005","2005",1.971,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2006","2006",2.474,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2007","2007",2.658,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2008","2008",0,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2009","2009",0,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2010","2010",3.519,,
"DNK","Denmark","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2011","2011",1.619,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2000","2000",13.165,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2001","2001",12.183,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2002","2002",14.343,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2003","2003",28.166,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2004","2004",25.717,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2005","2005",17.61,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2006","2006",44.317,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2007","2007",46.429,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2008","2008",47.446,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2009","2009",57.905,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2010","2010",54.627,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2011","2011",74.351,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2000","2000",11.344,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2001","2001",10.185,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2002","2002",10.541,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2003","2003",10.656,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2004","2004",12.739,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2005","2005",14.059,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2006","2006",21.434,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2007","2007",15.98,,
"FIN","Finland","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2008","2008",14.989,,
